,pickup_loc,dropoff_loc,x_ij
120,dr5ru60,dr5ryf0,0.006009815197046156
121,dr5ru4x,dr5rkw1,0.004070137715896127
122,dr5ru4q,dr72jrj,0.017986209962091555
123,dr5ru4x,dr5rmt6,2.2603242979035742e-06
124,dr5ru68,dr5ryjh,0.0024726231566347748
125,dr5ru60,dr5rtht,0.024622433951172175
126,dr5ru62,dr5rt2k,3.7266392841865614e-06
127,dr5ru4q,dr5rstu,0.6224593312018546
128,dr5ru62,dr5rfkk,0.37754066879814546
129,dr5ru4p,dr5rt5q,5.973585604500468e-08
130,dr5ru61,dr5x8vf,0.00040616966746027185
131,dr5ru62,dr72jsv,0.017124033315727726
132,dr5ru4r,dr5rt70,0.0009186680057091856
133,dr5ru62,dr5rxpv,0.2689414213699951
134,dr5ru4x,dr72mxw,0.005220125693558397
135,dr5ru61,dr5rsks,0.006804567794954222
136,dr5ru4x,dr72qjv,0.0007398423392811173
137,dr5ru63,dr5rhc1,0.0008594712579349954
138,dr5ru4q,dr72jdf,0.06949682342872482
139,dr5ru4n,dr5ruup,0.2058703718009474
140,dr5ru4q,dr5rthw,0.01597174585032659
141,dr5ru4q,dr5ru57,0.9966651926925867
142,dr5ru4q,dr5rku6,5.043474082014517e-07
143,dr5ru4q,dr5r2pf,2.2603242979035742e-06
144,dr5ru68,dr5x9wg,0.0002034269780552065
145,dr5ru4q,dr5regu,0.20181322226037882
146,dr5ru63,dr5rmxy,0.00033535013046647816
147,dr5ru4w,dr5ru4u,0.9975273768433652
148,dr5ru68,dr5rvsp,7.484622751061124e-05
149,dr5ru60,dr72q05,1.8553910183683314e-07
150,dr5ru4q,dr5r5wt,0.001209103018575159
151,dr5ru4q,dr5ru61,4.462373053600263e-08
152,dr5ru60,dr5rs0w,0.012534376849161713
153,dr5ru4x,dr72qh3,0.019359930474247583
154,dr5ru4p,dr5rt6d,0.0065286826919217
155,dr5ru4q,dr5peup,0.0002700410039167158
156,dr5ru61,dr5rxtc,0.0019267346633274755
157,dr5ru63,dr5rks3,0.001281638689046112
158,dr5ru4q,dr5rvgc,1.0129990980873921e-05
159,dr5ru4x,dr72mcz,0.0005527786369235996
160,dr5ru63,dr5r5q4,0.00033535013046647816
161,dr5ru63,dr72n04,0.01098694263059318
162,dr5ru4r,dr72jj4,0.07585818002124356
163,dr5ru61,dr5ru00,0.9872366668633303
164,dr5ru60,dr5rmnu,0.0005002011070795643
165,dr5ru63,dr72mwt,0.034445195666211154
166,dr5ru61,dr5ryj9,0.0003409842137654101
167,dr5ru4x,dr5rv60,0.7160597938157097
168,dr5ru60,dr72hbp,0.005263578572020649
169,dr5ru4r,dr5rsjq,0.5187412158785353
170,dr5ru68,dr5rvyu,0.0030945914351618036
171,dr5ru63,dr5rvc2,0.09607070902745644
172,dr5ru4q,dr5rvcy,0.00038960012083882634
173,dr5ru4r,dr72jkq,0.0014764065296150365
174,dr5ru4x,dr5rm6s,8.13501386355534e-05
175,dr5ru4p,dr72mt6,0.0009110511944006454
176,dr5ru4x,dr5ryjb,0.013168565297745492
177,dr5ru63,dr5rk70,0.18618382790150861
178,dr5ru4r,dr72j0x,0.015392945177970293
179,dr5ru61,dr5ruu9,0.06922097657496734
180,dr5ru63,dr5rgfr,0.9420804168301576
181,dr5ru63,dr5ruyp,0.23670438838840838
182,dr5ru62,dr5ruyx,0.312705719802796
183,dr5ru4q,dr5rux4,0.75820382759259
184,dr5ru4q,dr72hg0,0.5109830814825679
185,dr5ru4x,dr5rueg,0.8736070857693279
186,dr5ru68,dr5rvnf,0.3378440582923482
187,dr5ru4n,dr5rgbz,0.9918448582081908
188,dr5ru60,dr5rs7y,0.34769951761411033
189,dr5ru4x,dr5reur,0.22815650216092537
190,dr5ru62,dr5rkhg,0.02543578594176803
191,dr5ru69,dr5rvjk,0.008970864331068952
192,dr5ru60,dr5rseb,0.06828522378911618
193,dr5ru62,dr5rskb,0.1908044280383996
194,dr5ru60,dr72h81,0.07974378389254154
195,dr5ru4x,dr5ru91,0.7922276531104943
196,dr5ru60,dr5reye,0.9602022412874793
197,dr5ru4n,dr5rgfq,0.5260181446753458
198,dr5ru4x,dr5rggx,0.9962841630219821
199,dr5ru4p,dr5rsqd,0.4337256058045608
200,dr5ru4x,dr72mst,0.2747144323646586
201,dr5ru60,dr5rues,0.8358040046224696
202,dr5ru4x,dr72j24,0.127202204619899
203,dr5ru4x,dr5rss3,0.01335027929713888
204,dr5ru63,dr72hgs,0.5166604965694115
205,dr5ru4n,dr5ryhg,0.01037082903787312
206,dr5ru4q,dr5ru2e,0.8470253411058012
207,dr5ru4q,dr72h2q,0.628748557571515
208,dr5ru4q,dr5rsjm,0.09647350381035623
209,dr5ru4q,dr5rt54,0.021352556161020587
210,dr5ru60,dr5rezs,0.9562317197732322
211,dr5ru63,dr5r5d8,0.0001048893162424907
212,dr5ru62,dr5rk7y,0.005647755340954696
213,dr5ru68,dr5rvnn,0.004345000230667678
214,dr5ru4x,dr5rs7b,0.00967059896116211
215,dr5ru4w,dr72jps,0.07469801285795732
216,dr5ru61,dr5rsrd,0.9855639412274692
217,dr5ru4q,dr5reun,0.09070970888737521
